,0
561,Hydro:Hydro-2.50
562,Hydro:Neg-2.50
563,Hydro:Neutral-2.50
564,Hydro:Pos-2.50
565,Hydro:Sul-2.50
566,Neg:Neg-2.50
567,Neg:Neutral-2.50
568,Neg:Pos-2.50
569,Neg:Sul-2.50
570,Neutral:Neutral-2.50
571,Neutral:Pos-2.50
572,Neutral:Sul-2.50
573,Pos:Pos-2.50
574,Pos:Sul-2.50
575,Sul:Sul-2.50
576,Acc:Acc-2.00
577,Acc:Aro-2.00
578,Acc:Don-2.00
579,Acc:Hydro-2.00
580,Acc:Neg-2.00
581,Acc:Neutral-2.00
582,Acc:Pos-2.00
583,Acc:Sul-2.00
584,Aro:Aro-2.00
585,Aro:Don-2.00
586,Aro:Hydro-2.00
587,Aro:Neg-2.00
588,Aro:Neutral-2.00
589,Aro:Pos-2.00
590,Aro:Sul-2.00
591,Don:Don-2.00
592,Don:Hydro-2.00
593,Don:Neg-2.00
594,Don:Neutral-2.00
595,Don:Pos-2.00
596,Don:Sul-2.00
597,Hydro:Hydro-2.00
598,Hydro:Neg-2.00
599,Hydro:Neutral-2.00
600,Hydro:Pos-2.00
601,Hydro:Sul-2.00
602,Neg:Neg-2.00
603,Neg:Neutral-2.00
604,Neg:Pos-2.00
605,Neg:Sul-2.00
606,Neutral:Neutral-2.00
607,Neutral:Pos-2.00
608,Neutral:Sul-2.00
609,Pos:Pos-2.00
610,Pos:Sul-2.00
611,Sul:Sul-2.00
612,Acc:Acc-1.50
613,Acc:Aro-1.50
614,Acc:Don-1.50
615,Acc:Hydro-1.50
616,Acc:Neg-1.50
617,Acc:Neutral-1.50
618,Acc:Pos-1.50
619,Acc:Sul-1.50
620,Aro:Aro-1.50
621,Aro:Don-1.50
622,Aro:Hydro-1.50
623,Aro:Neg-1.50
624,Aro:Neutral-1.50
625,Aro:Pos-1.50
626,Aro:Sul-1.50
627,Don:Don-1.50
628,Don:Hydro-1.50
629,Don:Neg-1.50
630,Don:Neutral-1.50
631,Don:Pos-1.50
632,Don:Sul-1.50
633,Hydro:Hydro-1.50
634,Hydro:Neg-1.50
635,Hydro:Neutral-1.50
636,Hydro:Pos-1.50
637,Hydro:Sul-1.50
638,Neg:Neg-1.50
639,Neg:Neutral-1.50
640,Neg:Pos-1.50
641,Neg:Sul-1.50
642,Neutral:Neutral-1.50
643,Neutral:Pos-1.50
644,Neutral:Sul-1.50
645,Pos:Pos-1.50
646,Pos:Sul-1.50
647,Sul:Sul-1.50
648,Acc:Acc-1.00
649,Acc:Aro-1.00
650,Acc:Don-1.00
651,Acc:Hydro-1.00
652,Acc:Neg-1.00
653,Acc:Neutral-1.00
654,Acc:Pos-1.00
655,Acc:Sul-1.00
656,Aro:Aro-1.00
657,Aro:Don-1.00
658,Aro:Hydro-1.00
659,Aro:Neg-1.00
660,Aro:Neutral-1.00
661,Aro:Pos-1.00
662,Aro:Sul-1.00
663,Don:Don-1.00
664,Don:Hydro-1.00
665,Don:Neg-1.00
666,Don:Neutral-1.00
667,Don:Pos-1.00
668,Don:Sul-1.00
669,Hydro:Hydro-1.00
670,Hydro:Neg-1.00
671,Hydro:Neutral-1.00
672,Hydro:Pos-1.00
673,Hydro:Sul-1.00
674,Neg:Neg-1.00
675,Neg:Neutral-1.00
676,Neg:Pos-1.00
677,Neg:Sul-1.00
678,Neutral:Neutral-1.00
679,Neutral:Pos-1.00
680,Neutral:Sul-1.00
681,Pos:Pos-1.00
682,Pos:Sul-1.00
683,Sul:Sul-1.00
